title,album,year,lyrics,cover,songwriters_parsed,vocals_parsed
Cry Baby Cry,The Beatles,1968,Cry baby cry Make your mother sigh She's old enough to know better The king of Marigold was in the kitchen Cooking breakfast for the queen The queen was in the parlour Playing piano for the children of the king Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry The king was in the garden Picking flowers for a friend who came to play The queen was in the playroom Painting pictures for the childrens holiday Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry The duchess of Kircaldy always smiling And arriving late for tea The duke was having problems With a message at the local bird and bee Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry At twelve o'clock a meeting round the table For a seance in the dark With voices out of nowhere Put on specially by the children for a lark Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry cry cry cry baby Make your mother sigh She's old enough to know better Cry baby cry Cry cry cry Make your mother sigh She's old enough to know better So cry baby cry,False,"[""John Lennon""]","[""Lennon"", ""McCartney""]"
Cry for a Shadow,Anthology 1,1961,,False,"[""John Lennon"", ""George Harrison""]","[""Instrumental""]"
"Crying, Waiting, Hoping",Live at the BBC,1963,"Crying, waiting, hoping you'll come back I just can't seem to get you off my mind Crying, waiting, hoping you'll come back You're the one I love, I think about you all the time Crying, do do do do, tear keep a falling all night long Waiting, do do do do, it seems so useless I know it's wrong Keep a crying, waiting, hoping you'll come back Maybe someday soon it'll change and you'll be mine Crying, do do do do, tears keep a falling all night long Waiting, do do do do, it seems so useless I know it's wrong Keep a crying, waiting, hoping you'll come back Maybe someday soon it'll change and you'll be mine Crying, waiting, hoping",True,"[""Buddy Holly""]","[""Harrison""]"
A Day in the Life,Sgt. Pepper's Lonely Hearts Club Band,1967,"I read the news today oh, boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the house of lords I saw a film today oh, boy The english army had just won the war A crowd of people turned away But I just had to look Having read the book I'd love to turn you on. Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up, I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke And somebody spoke and I went into a dream Ah I read the news today oh, boy Four thousand holes in blackburn, lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the albert hall I'd love to turn you on",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Day Tripper,A Collection of Beatles Oldies,1965,"Got a good reason for taking the easy way out Got a good reason for taking the easy way out now She was a day tripper, a one way ticket yeah It took me so long to find out, and I found out She's a big teaser, she took me half the way there She's a big teaser, she took me half the way there now She was a day tripper, a one way ticket yeah It took me so long to find out, and I found out Tried to please her, she only played one night stands Tried to please her, she only played one night stands now She was a day tripper, a Sunday driver yeah It took me so long to find out, and I found out Day tripper Day tripper yeah Day tripper Day tripper yeah Day tripper",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Dear Prudence,The Beatles,1968,"Dear Prudence, won't you come out to play Dear Prudence, greet the brand new day The sun is up, the sky is blue It's beautiful and so are you Dear Prudence won't you come out and play? Dear Prudence, open up your eyes Dear Prudence, see the sunny skies The wind is low, the birds will sing That you are part of everything Dear Prudence won't you open up your eyes? Look around round (Round, round, round...) Look around round (Round, round, round...) Look around Dear Prudence, let me see you smile Dear Prudence, like a little child The clouds will be a daisy chain So let me see you smile again Dear Prudence won't you let me see you smile?",False,"[""John Lennon""]","[""Lennon""]"
Devil in Her Heart,With the Beatles,1963,"(She's got the devil in her heart) Oh, no, no, no... No this I can't believe (She's gonna tear your heart apart) No, no, way will she deceive Don't take chances For romance is So important to me She'll never hurt me She won't desert me (She's an angel sent to me) (She's got the devil in her heart) Oh, no, no, no... No this I can't believe (She's gonna tear your heart apart) No, no, way will she deceive I can't believe that she'll ever, ever go Not when she hurts me and says she loves me so... She'll never hurt me She won't desert me (Listen, can't you see?) (She's got the devil in her heart) Oh, no, no, no... This I can't believe (She's gonna tear your heart apart) No, no way will she deceive (Don't take chances, leave your romances So important to you) She'll never hurt me She won't desert me (She's an angel sent to me....) (She's got the devil in her heart) Oh, no, no, no... No, this I can't believe (She's gonna tear your heart apart) No, no, nay will she deceive (She's got the devil in her heart) No, she's an angel sent to me (She's got the devli in her heart) No, she's an angel sent to me...",True,"[""Drapkin (a.k.a. Ricky Dee)""]","[""Harrison""]"
Dig a Pony,Let It Be,1969,"I dig a pony Well you can celebrate anything you want Well you can celebrate anything you want Ooh. I do a road hog Well you can penetrate any place you go Yes you can penetrate any place you go I told you, all I want is you. Everything has got to be just like you want it to Because I pick a moon dog Well you can radiate everything you are Yes you can radiate everything you are Ooh I roll a stoney Well you can imitate everyone you know Yes you can imitate everyone you know I told you, all I want is you. Everything has got to be just like you want it to Because I feel the wind blow Well you can indicate everything you see Yes you can indicate everything you see Ooh I dug a pony Well you can syndicate any boat you row Yes you can syndicate any boat you row I told you, all I want is you Everything has got to bejust like you want it to Because",False,"[""John Lennon""]","[""Lennon""]"
Dig It,Let It Be,1969,"Like a rolling stone A like a rolling stone Like the fbi and the cia And the bbc Bb King And Doris Day Matt Busby Dig it, dig it, dig it Dig it, dig it, dig it, dig it, dig it, dig it, dig it, dig it",False,"[""John Lennon"", ""Paul McCartney"", ""George Harrison"", ""Ringo Starr""]","[""Lennon""]"
"Dizzy, Miss Lizzy",Help!,1965,,True,"[""Larry Williams""]","[""Lennon""]"
Do You Want to Know a Secret?,Please Please Me,1963,"You'll never know how much I really love you You'll never know how much I really care  Listen Do you want to know a secret Do you promise not to tell, whoa oh, oh  Closer Let me whisper in your ear Say the words you long to hear I'm in love with you  Listen Do you want to know a secret Do you promise not to tell, whoa oh, oh  Closer Let me whisper in your ear Say the words you long to hear I'm in love with you  I've known the secret for a week or two Nobody knows, just we two  Listen Do you want to know a secret Do you promise not to tell, whoa oh, oh  Closer Let me whisper in your ear Say the words you long to hear I'm in love with you",False,"[""John Lennon""]","[""Harrison""]"
Doctor Robert,Revolver,1966,"Ring my friend, I said you call Doctor Robert Day or night he'll be there any time at all, Doctor Robert Doctor Robert, you're a new and better man He helps you to understand He does everything he can, Doctor Robert  If you're down he'll pick you up, Doctor Robert Take a drink from his special cup, Doctor Robert Doctor Robert, he's a man you must believe Helping everyone in need No one can succeed like Doctor Robert  Well, well, well, you're feeling fine Well, well, well, he'll make you... Doctor Robert  My friend works for the national health, Doctor Robert Don't pay money just to see yourself with Doctor Robert Doctor Robert, you're a new and better man He helps you to understand He does everything he can, Doctor Robert  Well, well, well, you're feeling fine Well, well, well, he'll make you... Doctor Robert  Ring my friend, I said you'd call Doctor Robert Ring my friend, I said you'd call Doctor Robert Doctor Robert",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon""]"
